seed, winning bundle id, winning bundle utility
859425,111,1115
859425,146,1176
859425,188,1512
859425,188,1512
859425,239,1805
859425,270,1817
859425,303,1942
859425,359,2254
859425,395,2363
859425,395,2363
859425,395,2363
859425,395,2363
859425,520,2438
859425,520,2438
859425,520,2438
859425,600,2455
859425,600,2455
859425,600,2455
859425,600,2455
859425,749,2547
859425,749,2547
859425,749,2547
859425,848,2583
859425,865,2614
859425,897,2713
859425,897,2713
859425,973,2713
859425,991,2713
859425,991,2713
859425,991,2713
859425,991,2713
859425,1154,2713
859425,1175,2713
859425,1175,2713
859425,1175,2713
859425,1175,2713
859425,1175,2713
859425,1175,2713
859425,1175,2713
859425,1175,2713
859425,1175,2713
